,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##INCHES,Section Name Key##other##
WT8X38.5,10.3,8.26,0.76,0.455,0.4,6.63,11.3,38.5,56.9,69.2,8.59,13.4,15.3,20.5,1.78,4.61,5.5,WT8X38.5
WT8X33.5,10.2,8.17,0.665,0.395,0.405,6.61,9.81,33.5,48.6,59.5,7.36,11.6,13,17.7,1.19,3.01,5.5,WT8X33.5
WT8X28.5,7.12,8.22,0.715,0.43,0.405,6.28,8.39,28.5,48.7,21.6,7.77,6.06,13.8,9.42,1.1,1.99,3.5,WT8X28.5
WT8X25,7.07,8.13,0.63,0.38,0.4,6.24,7.37,25,42.3,18.6,6.78,5.26,12,8.15,0.76,1.34,3.5,WT8X25
WT8X22.5,7.04,8.07,0.565,0.345,0.402,6.21,6.63,22.5,37.8,16.4,6.1,4.67,10.8,7.22,0.555,0.974,3.5,WT8X22.5
WT8X20,7,8.01,0.505,0.305,0.402,6.2,5.89,20,33.1,14.4,5.35,4.12,9.43,6.36,0.396,0.673,3.5,WT8X20
WT8X18,6.99,7.93,0.43,0.295,0.402,6.05,5.29,18,30.6,12.2,5.05,3.5,8.93,5.42,0.272,0.516,3.5,WT8X18
WT8X15.5,5.53,7.94,0.44,0.275,0.402,5.92,4.56,15.5,27.5,6.2,4.64,2.24,8.27,3.51,0.23,0.366,3.5,WT8X15.5
WT8X13,5.5,7.85,0.345,0.25,0.402,5.76,3.84,13,23.5,4.79,4.09,1.74,7.36,2.73,0.13,0.243,3.5,WT8X13
WT7X365,17.9,11.2,4.91,3.07,0.6,7.73,107,365,739,2360,95.4,264,211,408,714,5250,7.5,WT7X365
